,dt,bid_count,position_count,cash_value,positions_value,total_value
0,2019-09-10,0,0,100000.0,0.0,100000.0
1,2019-09-11,0,0,100000.0,0.0,100000.0
2,2019-09-12,1,1,82432.91080322265,17532.025146484375,99964.93594970703
3,2019-09-13,0,1,82432.91080322265,17582.9345703125,100015.84537353515
4,2019-09-16,0,1,82432.91080322265,17676.422119140625,100109.33292236328
5,2019-09-17,0,1,82432.91080322265,17707.891845703125,100140.80264892578
6,2019-09-18,1,2,71026.5605682373,28997.988891601562,100024.54945983886
7,2019-09-19,0,2,71026.5605682373,28706.05239868164,99732.61296691894
8,2019-09-20,1,1,88335.07180480956,11197.59750366211,99532.66930847167
9,2019-09-23,0,1,88335.07180480956,11335.648345947266,99670.72015075682
10,2019-09-24,1,2,83086.11637802122,16567.41600036621,99653.53237838743
11,2019-09-25,1,1,88271.01046142576,11420.01495361328,99691.02541503904
12,2019-09-26,0,1,88271.01046142576,11399.884033203123,99670.89449462888
13,2019-09-27,1,2,81820.38701019285,17806.951141357422,99627.33815155027
14,2019-09-30,2,2,90081.73077545164,9555.66177368164,99637.39254913328
15,2019-10-01,0,2,90081.73077545164,9676.033973693848,99757.76474914548
16,2019-10-02,0,2,90081.73077545164,9518.965530395508,99600.69630584714
17,2019-10-03,1,3,84529.56966857908,15127.979850769043,99657.54951934812
18,2019-10-04,0,3,84529.56966857908,15327.491760253906,99857.06142883298
19,2019-10-07,0,3,84529.56966857908,15239.028358459473,99768.59802703855
20,2019-10-08,0,3,84529.56966857908,15043.925666809082,99573.49533538816
21,2019-10-09,1,4,64649.763378906224,35024.4815826416,99674.24496154783
22,2019-10-10,1,3,70271.29121856687,29440.11173248291,99711.40295104978
23,2019-10-11,0,3,70271.29121856687,29228.986358642574,99500.27757720945
24,2019-10-14,0,3,70271.29121856687,29192.30270385742,99463.59392242429
25,2019-10-15,2,3,72131.77490539548,27242.43049621582,99374.2054016113
26,2019-10-16,0,3,72131.77490539548,27341.927337646484,99473.70224304196
27,2019-10-17,0,3,72131.77490539548,27330.282592773438,99462.05749816891
28,2019-10-18,1,4,67161.84129791257,32387.439727783207,99549.28102569577
29,2019-10-21,1,5,61879.862497711154,37775.15830993653,99655.02080764768
30,2019-10-22,0,5,61879.862497711154,36633.051681518555,98512.9141792297
31,2019-10-23,0,5,61879.862497711154,36582.66143798828,98462.52393569943
32,2019-10-24,1,5,43570.2251899719,54505.84201812744,98076.06720809934
33,2019-10-25,1,4,48467.63539581296,49436.07978820801,97903.71518402097
34,2019-10-28,0,4,48467.63539581296,48973.69270324707,97441.32809906003
35,2019-10-29,0,4,48467.63539581296,49183.180236816406,97650.81563262937
36,2019-10-30,2,4,49551.24149703977,48951.4663696289,98502.70786666867
37,2019-10-31,0,4,49551.24149703977,48983.620834350586,98534.86233139035
38,2019-11-01,0,4,49551.24149703977,48586.31935119629,98137.56084823605
39,2019-11-04,0,4,49551.24149703977,47748.43673706055,97299.67823410031
40,2019-11-05,1,3,53912.4935783386,44048.367500305176,97960.86107864378
41,2019-11-06,1,4,49373.927881622294,49027.04391479491,98400.9717964172
42,2019-11-07,0,4,49373.927881622294,48824.14798736572,98198.07586898802
43,2019-11-08,0,4,49373.927881622294,48945.92113494873,98319.84901657102
44,2019-11-11,0,4,49373.927881622294,48695.0159072876,98068.94378890989
45,2019-11-12,1,5,35659.817346954325,62490.67306518555,98150.49041213987
46,2019-11-13,0,5,35659.817346954325,62492.49706268311,98152.31440963745
47,2019-11-14,0,5,35659.817346954325,62161.319160461426,97821.13650741575
48,2019-11-15,2,5,28652.775041198714,69358.2899093628,98011.0649505615
49,2019-11-18,1,6,20168.084403991685,77649.18670654297,97817.27111053465
50,2019-11-19,0,6,20168.084403991685,76981.66770935059,97149.75211334227
51,2019-11-20,1,5,25022.788445281967,71633.620262146,96656.40870742797
52,2019-11-21,1,6,12694.547296905503,83836.083984375,96530.6312812805
53,2019-11-22,0,6,12694.547296905503,84058.16230773926,96752.70960464476
54,2019-11-25,1,5,26361.375782012925,70504.53720092773,96865.91298294066
55,2019-11-26,0,5,26361.375782012925,71059.73052978517,97421.1063117981
56,2019-11-27,1,6,20925.921775054918,76852.51884460449,97778.4406196594
57,2019-11-29,0,6,20925.921775054918,76556.19850158691,97482.12027664183
58,2019-12-02,0,6,20925.921775054918,76393.55239868164,97319.47417373655
59,2019-12-03,1,7,15947.195287322986,80474.82223510742,96422.01752243041
60,2019-12-04,0,7,15947.195287322986,81072.86071777344,97020.05600509643
61,2019-12-05,1,6,52315.079137420646,44512.722396850586,96827.80153427123
62,2019-12-06,1,7,36028.20027999877,61321.93603515625,97350.13631515502
63,2019-12-09,1,8,20957.399236297595,76388.17138671875,97345.57062301635
64,2019-12-10,1,7,31908.098752593985,65379.71382141113,97287.81257400512
65,2019-12-11,0,7,31908.098752593985,66211.63024902344,98119.72900161742
66,2019-12-12,1,7,19190.34875717162,79826.26113891602,99016.60989608764
67,2019-12-13,0,7,19190.34875717162,80127.96440124512,99318.31315841674
68,2019-12-16,0,7,19190.34875717162,80221.0693359375,99411.41809310913
69,2019-12-17,0,7,19190.34875717162,79649.58457946777,98839.9333366394
70,2019-12-18,1,8,13742.981322479238,83462.27264404297,97205.2539665222
71,2019-12-19,0,8,13742.981322479238,83658.10928344727,97401.0906059265
72,2019-12-20,1,7,22105.904878997793,76115.68794250488,98221.59282150268
73,2019-12-23,0,7,22105.904878997793,76214.25476074219,98320.15963973998
74,2019-12-24,1,8,1798.5316001892024,96414.0869140625,98212.6185142517
75,2019-12-26,0,8,1798.5316001892024,96854.35600280762,98652.88760299682
76,2019-12-27,1,8,1798.5316001892024,97036.7057800293,98835.2373802185
77,2019-12-30,2,7,18789.0445487976,79356.63146972656,98145.67601852416
78,2019-12-31,0,7,18789.0445487976,79631.37664794922,98420.42119674681
79,2020-01-02,0,7,18789.0445487976,79687.96653747559,98477.01108627318
80,2020-01-03,1,8,7963.258336639396,89570.46585083008,97533.72418746947
81,2020-01-06,1,8,7963.258336639396,89451.9832611084,97415.2415977478
82,2020-01-07,0,8,7963.258336639396,89031.0073852539,96994.2657218933
83,2020-01-08,0,8,7963.258336639396,89717.44918823242,97680.70752487182
84,2020-01-09,1,8,7963.258336639396,90096.62246704102,98059.88080368041
85,2020-01-10,1,7,18667.304778289785,79110.49995422363,97777.80473251341
86,2020-01-13,0,7,18667.304778289785,80108.22105407715,98775.52583236693
87,2020-01-14,0,7,18667.304778289785,80283.8939666748,98951.19874496458
88,2020-01-15,2,6,23665.780834197987,75488.64669799805,99154.42753219603
89,2020-01-16,0,6,23665.780834197987,75829.8355102539,99495.61634445189
90,2020-01-17,0,6,23665.780834197987,76274.00436401367,99939.78519821166
